Temperature,T Max,RH,Sampling date,Td dew point,THI,firm
14.5,19.600000381469727,75.0,2013/1/1,10.083062676536684,14.430653889046047,2
17.700000762939453,20.399999618530273,86.0,2013/1/2,15.31074636548081,17.41304629490151,2
16.0,17.700000762939453,84.0,2013/1/3,13.275018700389566,15.82253853116709,2
16.799999237060547,19.899999618530273,84.0,2013/1/4,14.05949665501204,16.551690047287035,2
17.200000762939453,19.600000381469727,87.0,2013/1/5,15.000062500949056,16.969457096393725,2
17.899999618530273,20.700000762939453,89.0,2013/1/6,16.04738264430779,17.662353055969536,2
18.600000381469727,21.0,90.0,2013/1/7,16.915602063059055,18.34530472190674,2
17.700000762939453,18.700000762939453,87.0,2013/1/8,15.492296797508729,17.43353109963943,2
15.699999809265137,18.0,83.0,2013/1/9,12.796228711401454,15.539707180903326,2
16.399999618530273,18.899999618530273,76.0,2013/1/10,12.125288526287363,16.080803569095817,2
16.799999237060547,20.100000381469727,83.0,2013/1/11,13.873436880943117,16.536184505693907,2
18.299999237060547,19.799999237060547,91.0,2013/1/12,16.794380562670312,18.085666695869023,2
16.399999618530273,17.799999237060547,91.0,2013/1/13,14.91442111095266,16.280202361729536,2
15.100000381469727,18.399999618530273,66.0,2013/1/14,8.74343407814591,14.892729654553497,2
15.899999618530273,22.399999618530273,77.0,2013/1/15,11.840058547262942,15.657740335836143,2
17.100000381469727,20.200000762939453,85.0,2013/1/16,14.538198625160703,16.84230845496815,2
15.100000381469727,17.899999618530273,72.0,2013/1/17,10.047345329034457,14.929229152312832,2
14.199999809265137,17.799999237060547,60.0,2013/1/18,6.481446852843902,14.155666200067046,2
15.800000190734863,20.5,77.0,2013/1/19,11.742951388136547,15.570476386540701,2
16.899999618530273,19.899999618530273,87.0,2013/1/20,14.704721923013253,16.69102562670162,2
18.100000381469727,22.600000381469727,88.0,2013/1/21,16.066323600077,17.82750560147305,2
18.299999237060547,21.200000762939453,90.0,2013/1/22,16.619134667090208,18.061861012929782,2
17.5,19.5,85.0,2013/1/23,14.930959057730433,17.209140249338887,2
17.200000762939453,20.600000381469727,82.0,2013/1/24,14.076584750467944,16.880865212389388,2
16.600000381469727,19.5,77.0,2013/1/25,12.519808661147621,16.268634542531487,2
15.699999809265137,17.100000381469727,85.0,2013/1/26,13.163537111166647,15.558548447642723,2
16.600000381469727,19.600000381469727,66.0,2013/1/27,10.17510567624683,16.110496424357354,2
16.399999618530273,20.100000381469727,69.0,2013/1/28,10.654766416254688,15.987888529848082,2
16.799999237060547,21.899999618530273,83.0,2013/1/29,13.873436880943117,16.536184505693907,2
17.0,20.399999618530273,78.0,2013/1/30,13.107123369375842,16.634353161316657,2
17.100000381469727,22.200000762939453,83.0,2013/1/31,14.16722092718173,16.8079788699019,2
20.0,24.600000381469727,64.0,2013/2/1,12.946409170412863,18.806449691740756,2
19.5,21.299999237060547,87.0,2013/2/2,17.264340265123565,19.104426995400253,2
17.700000762939453,24.600000381469727,96.0,2013/2/3,17.04886797472605,17.617978897457988,2
22.200000762939453,26.299999237060547,85.0,2013/2/4,19.545894140424735,21.520957627296244,2
21.600000381469727,26.600000381469727,80.0,2013/2/5,17.984410580940647,20.76055173264157,2
20.799999237060547,23.600000381469727,85.0,2013/2/6,18.171232626430708,20.23627795384152,2
19.0,22.899999618530273,88.0,2013/2/7,16.9534833328392,18.667913592034495,2
16.200000762939453,18.899999618530273,78.0,2013/2/8,12.329141210491713,15.931719606748393,2
15.399999618530273,18.899999618530273,82.0,2013/2/9,12.31627672335972,15.260209967348294,2
16.299999237060547,19.0,86.0,2013/2/10,13.93427845005435,16.121446363853902,2
17.200000762939453,19.799999237060547,87.0,2013/2/11,15.000062500949056,16.969457096393725,2
17.100000381469727,20.5,87.0,2013/2/12,14.901615641637122,16.8766455361023,2
17.200000762939453,20.5,81.0,2013/2/13,13.885997594296839,16.863152767277157,2
18.0,21.399999618530273,88.0,2013/2/14,15.967750296436762,17.734132135049457,2
18.299999237060547,21.700000762939453,85.0,2013/2/15,15.716479922869894,17.94286320553638,2
18.200000762939453,21.600000381469727,77.0,2013/2/16,14.073523207169771,17.665279379269442,2
18.600000381469727,21.899999618530273,87.0,2013/2/17,16.378318531316154,18.268933484278975,2
22.799999237060547,27.0,77.0,2013/2/18,18.5404525269835,21.683270017160634,2
17.899999618530273,23.799999237060547,84.0,2013/2/19,15.138153842617953,17.554406618453037,2
16.399999618530273,20.0,79.0,2013/2/20,12.719469856041712,16.120653231295403,2
16.899999618530273,18.399999618530273,90.0,2013/2/21,15.235620152569041,16.739227134906606,2
16.299999237060547,18.799999237060547,86.0,2013/2/22,13.93427845005435,16.121446363853902,2
17.799999237060547,27.84247589111328,77.0,2013/2/23,13.685094570664262,17.316076116284872,2
17.299999237060547,21.0,85.0,2013/2/24,14.734578841445568,17.025721905987858,2
17.600000381469727,21.5,91.0,2013/2/25,16.101763922563805,17.420463030114895,2
19.799999237060547,27.100000381469727,84.0,2013/2/26,17.001288984846298,19.286750736686116,2
20.299999237060547,24.600000381469727,85.0,2013/2/27,17.680282085718545,19.777528889270208,2
18.600000381469727,20.700000762939453,88.0,2013/2/28,16.559190118278252,18.29438846643468,2
22.399999618530273,29.0,81.0,2013/3/1,18.96433512756721,21.519094430139013,2
15.0,17.799999237060547,78.0,2013/3/2,11.162167972165506,14.877961845085986,2
13.600000381469727,14.899999618530273,73.0,2013/3/3,8.807427309263502,13.659936896835065,2
16.100000381469727,19.399999618530273,53.0,2013/3/4,6.449765395495319,15.55386836317624,2
18.5,24.5,65.0,2013/3/5,11.755685271734563,17.628877613107637,2
18.799999237060547,23.299999237060547,79.0,2013/3/6,15.056753343648623,18.242208524326724,2
19.600000381469727,24.100000381469727,69.0,2013/3/7,13.724234129088472,18.640285601829223,2
21.200000762939453,26.899999618530273,61.0,2013/3/8,13.346088206298688,19.649703332215992,2
22.100000381469727,26.5,69.0,2013/3/9,16.122255779739902,20.714113399589856,2
22.5,27.299999237060547,77.0,2013/3/10,18.24913104960433,21.421100819947362,2
19.700000762939453,27.84247589111328,76.0,2013/3/11,15.325131591316321,18.94355924198664,2
20.799999237060547,24.799999237060547,81.0,2013/3/12,17.401769732714797,20.086027152474262,2
23.5,27.600000381469727,79.0,2013/3/13,19.633933506878776,22.399824097698204,2
17.700000762939453,20.5,70.0,2013/3/14,12.121600525621758,17.085597314150288,2
18.399999618530273,21.100000381469727,76.0,2013/3/15,14.06458735357765,17.81556661381774,2
20.799999237060547,24.200000762939453,83.0,2013/3/16,17.790557497458167,20.16114786521905,2
22.799999237060547,27.600000381469727,78.0,2013/3/17,18.74749402128586,21.731806981319526,2
24.399999618530273,27.5,84.0,2013/3/18,21.512037223925518,23.482989152512555,2
25.100000381469727,28.0,85.0,2013/3/19,22.39340727655528,24.182969230647497,2
25.0,27.799999237060547,86.0,2013/3/20,22.488043353061585,24.151748119179985,2
20.899999618530273,23.600000381469727,82.0,2013/3/21,17.694995695079314,20.213690329892433,2
23.899999618530273,28.700000762939453,81.0,2013/3/22,20.429240185241355,22.862997750321636,2
24.600000381469727,28.700000762939453,83.0,2013/3/23,21.51182208314748,23.607101006305584,2
24.0,26.799999237060547,87.0,2013/3/24,21.69444893416062,23.28334576346916,2
21.0,24.5,71.0,2013/3/25,15.514265826172334,19.87869464460758,2
20.5,24.0,80.0,2013/3/26,16.911643033199226,19.7814687856293,2
21.399999618530273,24.299999237060547,82.0,2013/3/27,18.1839701470538,20.66423447265121,2
22.299999237060547,26.799999237060547,81.0,2013/3/28,18.866674790388913,21.42951490574868,2
21.600000381469727,24.299999237060547,81.0,2013/3/29,18.183052430141004,20.80250642307727,2
21.0,25.0,80.0,2013/3/30,17.399264645808984,20.226480299825838,2
21.200000762939453,23.899999618530273,85.0,2013/3/31,18.56399305900044,20.603301659544318,2
