Temperature,T Max,RH,Sampling date,Td dew point,THI,firm
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/1,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/2,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/3,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/4,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/5,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/6,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/7,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/8,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/9,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/10,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/11,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/12,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/13,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/14,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/15,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/16,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/17,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/18,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/19,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/20,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/21,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/22,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/23,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/24,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/25,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/26,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/27,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/28,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/29,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/30,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/1/31,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/1,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/2,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/3,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/4,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/5,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/6,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/7,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/8,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/9,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/10,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/11,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/12,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/13,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/14,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/15,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/16,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/17,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/18,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/19,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/20,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/21,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/22,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/23,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/24,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/25,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/26,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/27,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/2/28,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/3/1,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/3/2,nan,22.491701103732048,1
23.735965728759766,27.84247589111328,76.07624816894531,2013/3/3,nan,22.491701103732048,1
